,0,1,2,3,4
0,0.121,2.74,0.769,0.759,0.01
1,0.123,2.73,0.769,0.766,0.003
2,0.124,2.73,0.769,0.768,0.001
3,0.125,2.72,0.769,0.773,-0.003
4,0.126,2.72,0.769,0.775,-0.006
5,0.127,2.72,0.769,0.777,-0.008
