,0,1,2,3,4
0,0.1,4.46,0.727,-0.0,0.727
1,0.2,4.65,0.679,-0.0,0.679
2,0.3,4.91,0.632,-0.0,0.632
3,0.4,5.17,0.599,-0.0,0.599
4,0.5,5.32,0.584,-0.0,0.584
5,0.6,5.34,0.583,-0.0,0.583
