,0,1,2,3,4
0,0.0,4.5,0.753,-0.0,0.753
1,0.1,4.53,0.73,-0.0,0.731
2,0.2,4.63,0.691,-0.0,0.691
3,0.3,4.8100000000000005,0.645,-0.0,0.645
4,0.4,5.05,0.607,-0.0,0.607
5,0.5,5.18,0.593,-0.0,0.593
