,0,1,2,3,4
0,0.151,4.0,0.94,0.752,0.187
1,0.152,3.99,0.939,0.789,0.15
2,0.153,3.97,0.939,0.833,0.105
3,0.154,3.95,0.938,0.88,0.058
4,0.155,3.93,0.938,0.929,0.009
5,0.156,3.92,0.938,0.974,-0.037
